Team,Product_prefix,Release_name,Release_ID,Release_date
Case Management,CASE,Requests - 2019 Q4 ,6707182255864430102,2019-12-31
Case Management,CASE,Requests - 2020 - Q1 ,6729456697128152699,2020-03-30
Case Management,CASE,2019 - H1,6698718001437997356,2020-06-30
Process Automation,PROCESS,2019 Q4 - Process Automation,6677990870747927527,2020-01-31
Process Automation,PROCESS,2020 Q1 - Process Automation,6693939839944660596,2020-04-30
Process Automation,PROCESS,2020 Q2 - Process Automation,6678171311614612590,2020-07-31
Process Automation,PROCESS,2020 Q3 - Process Automation,6737654397494650100,2020-10-31
Robotic Process Automation,RPA,2019 Q4 - Robotic Process Automation,6694568594524686397,2019-12-31
Robotic Process Automation,RPA,2020 Q1 - Robotic Process Automation,6738043834137201794,2020-03-31
eSignature,ESIGN,2019 Q4 - eSignature,6694504295199548900,2020-01-31
HRSD Ideas,HRSDIDEAS,Release,6753134335079075082,2020-06-28
Form Builder,FORM,2019 Q4 - Formidable,6684228923344268636,2019-12-31
Form Builder,FORM,2020 H1 - Formidable,6707566407635563838,2020-07-31
Form Builder,FORM,2020 H2 - Formidable,6733484089132649920,2020-08-01
User Interface,PDUI,November 2019 - PDUI,6742386745552863661,2019-12-01
User Interface,PDUI,December 2019 - PDUI,6742386853786239912,2019-12-20
User Interface,PDUI,Q1 2020 - PDUI,6742387833678155692,2020-01-31
Core Payroll,PAY,2019 Q4 - Compliance,6739908776093786345,2019-12-08
Core Payroll,PAY,2019 W49 - UltiPro,6737734277767209322,2019-12-12
Core Payroll,PAY,2020 W09 - UltiPro,6739908065556749704,2020-02-27
Core Payroll,PAY,2020 R2 - UltiPro,6474940358075493606,2020-10-16
NU Payroll,PAYNU,2020 Q1 (Hypothetical Restart),6516964795118820043,2020-03-31
NU Payroll,PAYNU,2020 Q2,6516964886671649275,2020-06-30
NU Payroll,PAYNU,2020 Q3,6516965412842830842,2020-09-30
Tax Reporting and Canada,TAXC,2020 W03 - Canada Tax Reporting,6756946529355230899,2020-01-17
Tax USA,TAXU,2019 - DEC 12,6756696792419032047,2019-12-12
Tax USA,TAXU,2019 - DEC 26,6756695581149335780,2019-12-26
ACA,ACA,2019 Q4,6682761898109123753,2019-12-26
ACA,ACA,2020 Q1,6737370982573445161,2020-02-28
ACA Filing Portal,ACAFP,2019 Q4,6644168534782267471,2019-12-26
ACA Filing Portal,ACAFP,2020 Q1,6758062311726861209,2020-03-31
Benefits,BEN,2020 R1 - UltiPro,6735028324903126209,2020-04-20
Benefits,BEN,2020 R2 - UltiPro,6737758680478763968,2020-10-19
Benefits Prime,PRIME,2019 Q4,6637526773655265911,2019-12-26
Benefits Prime,PRIME,2020 Q1,6674252843087774545,2020-03-31
Compensation Management,CM,2019 Q4,6738407104729963255,2019-12-31
Compensation Management,CM,V12.5.1 (R1 - Spring 2020),6705005918951286950,2020-04-20
Compensation Management,CM,V12.5.2 (R2 - Fall/YE 2020,6705006302026029207,2020-10-12
Time and Attendance,UTA,6.2.0v31,6590749894431913686,2019-12-17
Time and Attendance,UTA,6.3.0,6706269361867884667,2019-12-31
Time and Attendance,UTA,6.2.0v32,6756283835611767428,2020-02-18
Time and Attendance,UTA,R1 2020,6758760247061372690,2020-04-01
Time and Attendance,UTA,6.2.0v33,6756939997519970020,2020-04-14
Time and Attendance,UTA,6.2.0v34,6756940384272664936,2020-06-16
Time and Attendance,UTA,6.4.0,6746186705254579865,2020-07-31
